Name,CreatedDate,Service_Application,Post_Assessment_Date,Post,Pre_Assessment_Date,Pre,Priority_Rank,Priority_Name,Impact_Category
IS-00027,2018-11-13 22:46:38,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-00028,2018-11-13 22:47:03,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,3,Runoff diverted,Home Preservation
IS-00029,2018-11-13 22:50:39,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00030,2018-11-13 22:52:18,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-00031,2018-11-13 22:52:40,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,6,Pest free,Health Risk
IS-00032,2018-11-13 22:59:13,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,7,Numerals visible,Health Risk
IS-00033,2018-11-13 22:59:36,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,8,Smoke detectors OK,Fire Prevention
IS-00034,2018-11-13 23:00:02,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00035,2018-11-13 23:00:23,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,10,Fire extinguisher OK,Fire Prevention
IS-00036,2018-11-13 23:01:09,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-00037,2018-11-13 23:01:37,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,12,No electrical hazards,Fire Prevention
IS-00038,2018-11-13 23:05:58,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,13,Appliances OK,Health Risk
IS-00039,2018-11-13 23:08:58,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00040,2018-11-13 23:09:30,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00041,2018-11-13 23:09:52,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-00042,2018-11-13 23:10:15,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-00043,2018-11-13 23:10:44,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,18,Stair rails if needed,Falls Prevention
IS-00046,2018-11-13 23:12:04,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-00044,2018-11-13 23:11:07,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,19,No tripping hazards,Falls Prevention
IS-00045,2018-11-13 23:11:32,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,20,No ratty carpeting,Air Quality
IS-00047,2018-11-13 23:12:24,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,No,22,Interior temperature OK,Health Risk
IS-00048,2018-11-13 23:12:58,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,23,Adequate lighting,Falls Prevention
IS-00049,2018-11-13 23:13:59,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-00050,2018-11-13 23:15:23,service_app_58,2018-11-08 00:00:00,Yes,2018-06-27 00:00:00,Yes,25,No water leaks,Air Quality
IS-00051,2018-11-14 17:55:02,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-00052,2018-11-14 17:59:09,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,2,Roof watertight,Home Preservation
IS-00053,2018-11-14 17:59:35,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,3,Runoff diverted,Home Preservation
IS-00054,2018-11-14 18:00:11,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00055,2018-11-14 19:00:35,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-00056,2018-11-14 19:03:23,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,Yes,6,Pest free,Health Risk
IS-00057,2018-11-14 19:03:42,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,7,Numerals visible,Health Risk
IS-00058,2018-11-14 19:04:18,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,Yes,8,Smoke detectors OK,Fire Prevention
IS-00059,2018-11-14 19:04:55,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00060,2018-11-14 19:05:18,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,Yes,10,Fire extinguisher OK,Fire Prevention
IS-00061,2018-11-14 19:25:12,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,11,CO exhausted outside,Air Quality
IS-00062,2018-11-14 19:25:45,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,12,No electrical hazards,Fire Prevention
IS-00063,2018-11-14 19:26:25,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,Yes,13,Appliances OK,Health Risk
IS-00064,2018-11-14 19:37:39,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00065,2018-11-14 19:38:15,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,15,Sink/toilet/bath OK,Health Risk
IS-00066,2018-11-14 19:38:46,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-00067,2018-11-14 19:40:17,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-00068,2018-11-14 19:40:40,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-00069,2018-11-14 19:41:02,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,19,No tripping hazards,Falls Prevention
IS-00070,2018-11-14 19:41:33,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,20,No ratty carpeting,Air Quality
IS-00071,2018-11-14 19:42:37,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,21,Dryer vented outside,Home Preservation
IS-00072,2018-11-14 19:45:29,service_app_33,2018-10-12 00:00:00,No,2018-03-06 00:00:00,No,22,Interior temperature OK,Health Risk
IS-00073,2018-11-14 19:45:55,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,Yes,23,Adequate lighting,Falls Prevention
IS-00074,2018-11-14 19:46:16,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,24,Interior paint intact,Home Preservation
IS-00075,2018-11-14 19:46:53,service_app_33,2018-10-12 00:00:00,Yes,2018-03-06 00:00:00,No,25,No water leaks,Air Quality
IS-00076,2018-11-15 22:24:02,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,1,Safe ingress/egress,Falls Prevention
IS-00077,2018-11-15 22:24:23,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-00080,2018-11-15 22:25:29,service_app_47,2018-11-01 00:00:00,No,2018-03-29 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-00078,2018-11-15 22:24:48,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,3,Runoff diverted,Home Preservation
IS-00081,2018-11-15 22:25:51,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,6,Pest free,Health Risk
IS-00079,2018-11-15 22:25:10,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-00082,2018-11-15 22:26:12,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,7,Numerals visible,Health Risk
IS-00083,2018-11-15 22:37:17,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,8,Smoke detectors OK,Fire Prevention
IS-00084,2018-11-15 22:37:48,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-00085,2018-11-15 22:38:15,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,10,Fire extinguisher OK,Fire Prevention
IS-00086,2018-11-15 22:38:52,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-00087,2018-11-15 22:39:29,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,12,No electrical hazards,Fire Prevention
IS-00088,2018-11-15 22:40:20,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,13,Appliances OK,Health Risk
IS-00089,2018-11-15 22:41:16,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-00090,2018-11-15 22:42:53,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-00091,2018-11-15 22:46:48,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-00092,2018-11-15 22:52:15,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-00093,2018-11-15 22:52:44,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-00094,2018-11-15 22:53:23,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,19,No tripping hazards,Falls Prevention
IS-00095,2018-11-15 22:53:50,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,20,No ratty carpeting,Air Quality
IS-00096,2018-11-15 22:54:19,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,No,21,Dryer vented outside,Home Preservation
IS-00097,2018-11-15 22:54:37,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,22,Interior temperature OK,Health Risk
IS-00098,2018-11-15 22:55:18,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,23,Adequate lighting,Falls Prevention
IS-00099,2018-11-15 22:55:52,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-00100,2018-11-15 22:56:19,service_app_47,2018-11-01 00:00:00,Yes,2018-03-29 00:00:00,Yes,25,No water leaks,Air Quality
IS-01404,2020-08-25 17:25:45,service_app_156,,Yes,2020-07-21 00:00:00,Yes,1,Safe ingress/egress,Falls Prevention
IS-01405,2020-08-25 17:25:45,service_app_156,,Yes,,No,2,Roof watertight,Home Preservation
IS-01406,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,3,Runoff diverted,Home Preservation
IS-01407,2020-08-25 17:25:45,service_app_156,,Yes,,No,4,No gaps/cracks/holes,Energy Efficiency
IS-01408,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,5,Doors/windows secure,Energy Efficiency
IS-01409,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,6,Pest free,Health Risk
IS-01410,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,7,Numerals visible,Health Risk
IS-01411,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,8,Smoke detectors OK,Fire Prevention
IS-01412,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,9,CO detectors OK,Health Risk
IS-01413,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,10,Fire extinguisher OK,Fire Prevention
IS-01414,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,11,CO exhausted outside,Air Quality
IS-01415,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,12,No electrical hazards,Fire Prevention
IS-01416,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,13,Appliances OK,Health Risk
IS-01417,2020-08-25 17:25:45,service_app_156,,No,,No,14,Exhaust fans in K & B,Air Quality
IS-01418,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,15,Sink/toilet/bath OK,Health Risk
IS-01419,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,16,Mods in bath if needed,Falls Prevention
IS-01420,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,17,Grab bars if needed,Falls Prevention
IS-01421,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,18,Stair rails if needed,Falls Prevention
IS-01422,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,19,No tripping hazards,Falls Prevention
IS-01423,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,20,No ratty carpeting,Air Quality
IS-01424,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,21,Dryer vented outside,Home Preservation
IS-01425,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,22,Interior temperature OK,Health Risk
IS-01426,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,23,Adequate lighting,Falls Prevention
IS-01427,2020-08-25 17:25:45,service_app_156,,Yes,,Yes,24,Interior paint intact,Home Preservation
IS-01428,2020-08-25 17:25:45,service_app_156,,Yes,,No,25,No water leaks,Air Quality
IS-01429,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,1,Safe ingress/egress,Falls Prevention
IS-01430,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,2,Roof watertight,Home Preservation
IS-01431,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,3,Runoff diverted,Home Preservation
IS-01432,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-01433,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,5,Doors/windows secure,Energy Efficiency
IS-01434,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,6,Pest free,Health Risk
IS-01435,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,7,Numerals visible,Health Risk
IS-01436,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,8,Smoke detectors OK,Fire Prevention
IS-01437,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,9,CO detectors OK,Health Risk
IS-01438,2020-09-22 18:38:18,service_app_131,,No,,No,10,Fire extinguisher OK,Fire Prevention
IS-01439,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,11,CO exhausted outside,Air Quality
IS-01440,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,12,No electrical hazards,Fire Prevention
IS-01441,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,13,Appliances OK,Health Risk
IS-01442,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,14,Exhaust fans in K & B,Air Quality
IS-01443,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,15,Sink/toilet/bath OK,Health Risk
IS-01444,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,16,Mods in bath if needed,Falls Prevention
IS-01445,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,17,Grab bars if needed,Falls Prevention
IS-01446,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,18,Stair rails if needed,Falls Prevention
IS-01447,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,19,No tripping hazards,Falls Prevention
IS-01448,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,20,No ratty carpeting,Air Quality
IS-01449,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,21,Dryer vented outside,Home Preservation
IS-01450,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,22,Interior temperature OK,Health Risk
IS-01451,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,23,Adequate lighting,Falls Prevention
IS-01452,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,24,Interior paint intact,Home Preservation
IS-01453,2020-09-22 18:38:18,service_app_131,,Yes,,Yes,25,No water leaks,Air Quality
IS-01454,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-01455,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,2,Roof watertight,Home Preservation
IS-01456,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,3,Runoff diverted,Home Preservation
IS-01457,2020-11-06 06:20:09,service_app_132,,No,2020-10-05 00:00:00,No,4,No gaps/cracks/holes,Energy Efficiency
IS-01458,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-01459,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,6,Pest free,Health Risk
IS-01460,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,7,Numerals visible,Health Risk
IS-01461,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,8,Smoke detectors OK,Fire Prevention
IS-01462,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,9,CO detectors OK,Health Risk
IS-01463,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,10,Fire extinguisher OK,Fire Prevention
IS-01464,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-01465,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,12,No electrical hazards,Fire Prevention
IS-01466,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,13,Appliances OK,Health Risk
IS-01467,2020-11-06 06:20:09,service_app_132,,No,2020-10-05 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-01468,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-01469,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-01470,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-01471,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-01472,2020-11-06 06:20:09,service_app_132,,No,2020-10-05 00:00:00,No,19,No tripping hazards,Falls Prevention
IS-01473,2020-11-06 06:20:09,service_app_132,,No,2020-10-05 00:00:00,No,20,No ratty carpeting,Air Quality
IS-01474,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-01475,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,22,Interior temperature OK,Health Risk
IS-01476,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,23,Adequate lighting,Falls Prevention
IS-01477,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,Yes,24,Interior paint intact,Home Preservation
IS-01478,2020-11-06 06:20:09,service_app_132,,Yes,2020-10-05 00:00:00,No,25,No water leaks,Air Quality
IS-01479,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-01480,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-01481,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,3,Runoff diverted,Home Preservation
IS-01482,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
IS-01483,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-01484,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,No,2020-11-02 00:00:00,No,6,Pest free,Health Risk
IS-01485,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,7,Numerals visible,Health Risk
IS-01486,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,8,Smoke detectors OK,Fire Prevention
IS-01487,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-01488,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,10,Fire extinguisher OK,Fire Prevention
IS-01489,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-01490,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,12,No electrical hazards,Fire Prevention
IS-01491,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,13,Appliances OK,Health Risk
IS-01492,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,14,Exhaust fans in K & B,Air Quality
IS-01493,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,15,Sink/toilet/bath OK,Health Risk
IS-01494,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-01495,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-01496,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-01497,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,19,No tripping hazards,Falls Prevention
IS-01498,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,20,No ratty carpeting,Air Quality
IS-01499,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-01500,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,22,Interior temperature OK,Health Risk
IS-01501,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,23,Adequate lighting,Falls Prevention
IS-01502,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,No,24,Interior paint intact,Home Preservation
IS-01503,2020-11-12 07:27:07,service_app_136,2021-02-26 00:00:00,Yes,2020-11-02 00:00:00,Yes,25,No water leaks,Air Quality
IS-01504,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-01505,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,2,Roof watertight,Home Preservation
IS-01506,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,3,Runoff diverted,Home Preservation
IS-01507,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,4,No gaps/cracks/holes,Energy Efficiency
IS-01508,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,No,2017-08-22 00:00:00,No,5,Doors/windows secure,Energy Efficiency
IS-01509,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,6,Pest free,Health Risk
IS-01510,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,7,Numerals visible,Health Risk
IS-01511,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,8,Smoke detectors OK,Fire Prevention
IS-01512,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,9,CO detectors OK,Health Risk
IS-01513,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,10,Fire extinguisher OK,Fire Prevention
IS-01514,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,11,CO exhausted outside,Air Quality
IS-01515,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,12,No electrical hazards,Fire Prevention
IS-01516,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,13,Appliances OK,Health Risk
IS-01517,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,No,2017-08-22 00:00:00,No,14,Exhaust fans in K & B,Air Quality
IS-01518,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,15,Sink/toilet/bath OK,Health Risk
IS-01519,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,16,Mods in bath if needed,Falls Prevention
IS-01520,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,17,Grab bars if needed,Falls Prevention
IS-01521,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,18,Stair rails if needed,Falls Prevention
IS-01522,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,19,No tripping hazards,Falls Prevention
IS-01523,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,No,2017-08-22 00:00:00,No,20,No ratty carpeting,Air Quality
IS-01524,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,Yes,21,Dryer vented outside,Home Preservation
IS-01525,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,22,Interior temperature OK,Health Risk
IS-01526,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,No,2017-08-22 00:00:00,No,23,Adequate lighting,Falls Prevention
IS-01527,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,No,2017-08-22 00:00:00,No,24,Interior paint intact,Home Preservation
IS-01528,2020-12-16 21:39:53,service_app_34,2018-08-13 00:00:00,Yes,2017-08-22 00:00:00,No,25,No water leaks,Air Quality
IS-01529,2020-12-16 21:58:55,service_app_39,2018-04-17 00:00:00,Yes,2017-11-17 00:00:00,No,1,Safe ingress/egress,Falls Prevention
IS-01530,2020-12-16 21:58:55,service_app_39,2018-04-17 00:00:00,Yes,2017-11-17 00:00:00,No,2,Roof watertight,Home Preservation
IS-01531,2020-12-16 21:58:55,service_app_39,2018-04-17 00:00:00,Yes,2017-11-17 00:00:00,No,3,Runoff diverted,Home Preservation
IS-01532,2020-12-16 21:58:55,service_app_39,2018-04-17 00:00:00,Yes,2017-11-17 00:00:00,Yes,4,No gaps/cracks/holes,Energy Efficiency
